entry_id,player_id,event_id,timestamp,chance_of_playing_this_round,form,status,fixture_code,opposition_gf,opposition_ga,opposition,is_home,kickoff_time,points_h,points_a,minutes_h,minutes_a,goals_scored_h,goals_scored_a,assists_h,assists_a,clean_sheets_h,clean_sheets_a,goals_conceded_h,goals_conceded_a,yellow_cards_h,yellow_cards_a,red_cards_h,red_cards_a,bonus_h,bonus_a,influence_h,influence_a,creativity_h,creativity_a,threat_h,threat_a,points_1,points_2,points_3,minutes_1,minutes_2,minutes_3,opposition_strength,response
11,11,33,2021-04-23 14:46:16,100.0,0.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,2.88,2.44,65.0,58.56,0.06,0.0,0.12,0.06,0.12,0.25,0.88,0.62,0.25,0.25,0.0,0.0,0.56,0.38,13.64,8.38,11.16,9.67,8.38,3.62,2,0,0,67.0,0.0,0.0,3.0,0
12,13,33,2021-04-23 14:46:16,100.0,2.3,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.06,0.81,5.62,16.88,0.0,0.0,0.0,0.06,0.0,0.06,0.19,0.25,0.0,0.0,0.0,0.0,0.0,0.06,0.61,3.28,0.09,4.76,0.0,1.88,0,6,1,0.0,90.0,90.0,3.0,2
13,14,33,2021-04-23 14:46:16,0.0,0.0,u,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.12,0.0,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.34,0.0,0.25,0.0,0,0,0,0.0,0.0,0.0,3.0,0
14,16,33,2021-04-23 14:46:16,100.0,3.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,2.19,3.12,64.19,67.5,0.0,0.0,0.0,0.06,0.19,0.38,0.75,0.69,0.06,0.06,0.0,0.0,0.12,0.38,14.52,15.8,2.05,2.02,3.56,2.38,2,8,1,90.0,90.0,90.0,3.0,2
15,17,33,2021-04-23 14:46:16,0.0,0.3,i,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.75,3.12,58.44,67.5,0.0,0.06,0.12,0.06,0.06,0.31,0.75,0.81,0.12,0.12,0.0,0.0,0.06,0.19,9.73,15.01,13.12,14.9,5.44,5.88,0,0,1,0.0,0.0,45.0,3.0,0
16,18,33,2021-04-23 14:46:16,100.0,3.0,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.38,3.0,34.69,43.5,0.06,0.25,0.0,0.19,0.06,0.06,0.62,0.56,0.0,0.06,0.0,0.06,0.0,0.19,4.4,12.81,3.84,7.66,14.94,22.88,1,6,2,22.0,90.0,90.0,3.0,3
17,19,33,2021-04-23 14:46:16,0.0,0.0,u,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
18,21,33,2021-04-23 14:46:16,100.0,0.0,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.06,0.06,1.56,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06,0.34,0.26,0.62,0.0,0,0,0,0.0,0.0,0.0,3.0,0
19,22,33,2021-04-23 14:46:16,,2.3,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.62,0.5,12.88,8.25,0.12,0.0,0.06,0.0,0.0,0.0,0.19,0.19,0.0,0.0,0.0,0.0,0.31,0.0,6.32,0.4,3.72,0.75,9.12,2.06,6,1,0,20.0,1.0,0.0,3.0,2
20,23,33,2021-04-23 14:46:16,100.0,0.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.75,1.25,35.06,29.5,0.0,0.0,0.19,0.12,0.25,0.12,0.19,0.31,0.0,0.0,0.0,0.0,0.0,0.0,6.74,3.78,13.11,6.58,5.31,4.75,2,0,0,90.0,0.0,0.0,3.0,2
21,24,33,2021-04-23 14:46:16,100.0,1.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,3.38,2.94,73.94,65.38,0.19,0.12,0.12,0.12,0.19,0.25,0.94,0.81,0.0,0.06,0.0,0.0,0.31,0.19,13.75,13.64,17.27,18.17,26.81,29.31,2,3,0,90.0,68.0,0.0,3.0,2
22,25,33,2021-04-23 14:46:16,0.0,0.0,u,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
23,26,33,2021-04-23 14:46:16,100.0,3.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.5,0.81,14.12,10.94,0.0,0.06,0.0,0.0,0.06,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,2.38,3.27,0.92,8.12,5.0,2,8,1,90.0,82.0,13.0,3.0,1
24,27,33,2021-04-23 14:46:16,0.0,0.0,u,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
25,70,33,2021-04-23 14:46:16,100.0,0.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.94,1.0,39.38,33.75,0.0,0.0,0.0,0.0,0.06,0.06,0.69,0.62,0.0,0.06,0.0,0.0,0.0,0.0,4.26,7.09,0.67,0.0,0.12,0.0,2,0,0,90.0,0.0,0.0,3.0,0
26,478,33,2021-04-23 14:46:16,100.0,0.3,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.06,2.94,28.75,46.94,0.0,0.0,0.06,0.38,0.0,0.12,0.44,0.56,0.0,0.0,0.0,0.0,0.0,0.38,4.34,7.38,10.73,14.96,3.5,9.31,0,1,0,0.0,21.0,0.0,3.0,1
27,494,33,2021-04-23 14:46:16,100.0,0.7,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.31,2.12,60.06,36.56,0.06,0.06,0.0,0.0,0.0,0.19,1.06,0.31,0.06,0.06,0.06,0.0,0.06,0.31,13.44,10.02,1.58,0.34,7.06,5.38,2,0,0,90.0,0.0,90.0,3.0,0
28,501,33,2021-04-23 14:46:16,100.0,5.3,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,2.25,1.25,49.88,34.75,0.0,0.0,0.19,0.06,0.12,0.19,0.69,0.25,0.06,0.12,0.0,0.0,0.38,0.06,12.36,7.61,13.91,7.84,4.06,1.31,8,7,1,90.0,90.0,57.0,3.0,2
29,526,33,2021-04-23 14:46:16,100.0,1.3,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.06,1.0,41.94,31.69,0.0,0.0,0.0,0.0,0.0,0.19,0.75,0.38,0.06,0.06,0.0,0.0,0.0,0.0,5.42,2.75,3.49,1.63,0.5,1.31,2,1,1,67.0,7.0,32.0,3.0,0
30,527,33,2021-04-23 14:46:16,0.0,0.0,u,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
31,547,33,2021-04-23 14:46:16,100.0,0.0,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.0,0.07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,3.0,0
32,567,33,2021-04-23 14:46:16,100.0,3.0,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,1.29,1.36,36.71,46.36,0.0,0.0,0.07,0.07,0.14,0.14,0.43,0.71,0.0,0.21,0.0,0.0,0.0,0.0,7.34,8.64,6.37,4.72,2.14,4.21,1,6,2,22.0,90.0,90.0,3.0,1
33,645,33,2021-04-23 14:46:16,75.0,0.7,d,319,1.19,1.48,7,1,2021-04-23 19:00:00,2.83,1.0,56.0,37.5,0.17,0.0,0.0,0.0,0.0,0.0,1.17,0.67,0.0,0.0,0.0,0.0,0.5,0.0,9.83,5.97,9.87,17.98,9.17,11.33,0,0,2,0.0,0.0,90.0,3.0,1
34,689,33,2021-04-23 14:46:16,,0.0,a,319,1.19,1.48,7,1,2021-04-23 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,3.0,,,0
35,12,33,2021-04-23 14:46:16,,3.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,4.8,5.62,90.0,90.0,0.0,0.0,0.0,0.0,0.4,0.5,1.4,0.88,0.0,0.0,0.0,0.0,0.6,0.94,25.05,30.06,0.0,1.25,0.0,0.0,1,4,4,90.0,90.0,90.0,2.0,2
36,28,33,2021-04-23 14:46:16,100.0,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
37,29,33,2021-04-23 14:46:16,,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,1.27,0.69,20.47,18.81,0.0,0.0,0.0,0.0,0.13,0.06,0.13,0.12,0.07,0.06,0.0,0.0,0.27,0.0,4.39,3.24,6.2,2.56,1.53,0.88,0,0,0,0.0,0.0,0.0,2.0,1
38,30,33,2021-04-23 14:46:16,0.0,0.0,u,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
39,31,33,2021-04-23 14:46:16,,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,-0.06,0.0,0.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
40,32,33,2021-04-23 14:46:16,,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
41,33,33,2021-04-23 14:46:16,0.0,0.0,u,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.27,1.0,5.07,9.31,0.0,0.06,0.0,0.06,0.07,0.06,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.19,0.53,3.59,2.61,2.73,0.2,1.88,0,0,0,0.0,0.0,0.0,2.0,0
42,34,33,2021-04-23 14:46:16,0.0,0.0,u,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
43,35,33,2021-04-23 14:46:16,0.0,0.0,u,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
44,36,33,2021-04-23 14:46:16,100.0,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
45,37,33,2021-04-23 14:46:16,25.0,0.0,i,320,1.19,1.09,18,1,2021-04-25 18:00:00,4.2,4.12,59.8,67.5,0.2,0.19,0.47,0.31,0.33,0.44,0.93,0.62,0.27,0.12,0.0,0.0,0.4,0.44,22.03,21.14,30.54,30.94,29.93,26.38,0,0,0,0.0,0.0,0.0,2.0,0
46,38,33,2021-04-23 14:46:16,,4.7,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,3.13,3.25,84.0,90.0,0.13,0.0,0.13,0.31,0.33,0.5,1.4,0.88,0.13,0.31,0.0,0.0,0.0,0.12,14.28,15.88,12.7,17.47,8.6,10.88,7,5,2,90.0,90.0,90.0,2.0,2
47,39,33,2021-04-23 14:46:16,100.0,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,1.4,0.44,12.0,11.25,0.07,0.0,0.0,0.0,0.13,0.06,0.0,0.06,0.0,0.06,0.0,0.0,0.2,0.0,3.91,2.02,0.01,0.08,2.87,0.38,0,0,0,0.0,0.0,0.0,2.0,0
48,40,33,2021-04-23 14:46:16,0.0,5.3,i,320,1.19,1.09,18,1,2021-04-25 18:00:00,2.47,1.19,43.53,31.5,0.13,0.0,0.07,0.0,0.13,0.25,0.73,0.19,0.0,0.0,0.0,0.0,0.2,0.0,9.12,4.8,8.18,3.59,19.67,11.44,0,2,14,0.0,81.0,28.0,2.0,0
49,41,33,2021-04-23 14:46:16,100.0,2.3,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,3.33,4.12,86.93,84.38,0.07,0.06,0.13,0.0,0.33,0.5,1.4,0.81,0.07,0.19,0.07,0.0,0.13,0.38,21.07,22.38,4.37,1.19,8.2,7.62,1,1,5,90.0,90.0,90.0,2.0,-1
50,42,33,2021-04-23 14:46:16,,1.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,3.27,4.38,90.0,89.0,0.0,0.0,0.07,0.12,0.4,0.56,1.4,0.75,0.2,0.25,0.0,0.0,0.27,0.25,15.84,18.7,11.9,14.41,3.53,2.81,1,0,2,90.0,90.0,90.0,2.0,1
51,43,33,2021-04-23 14:46:16,0.0,0.0,u,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
52,44,33,2021-04-23 14:46:16,,1.3,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.67,0.62,22.8,14.19,0.0,0.0,0.0,0.0,0.2,0.06,0.13,0.12,0.13,0.0,0.0,0.0,0.0,0.0,2.11,2.69,1.86,0.18,0.53,0.12,2,2,0,62.0,65.0,0.0,2.0,0
53,45,33,2021-04-23 14:46:16,100.0,1.3,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,1.4,3.25,27.87,36.5,0.07,0.31,0.0,0.0,0.13,0.12,0.27,0.5,0.0,0.06,0.0,0.0,0.07,0.5,6.16,15.27,9.59,8.95,12.4,22.88,1,1,2,15.0,22.0,61.0,2.0,9
54,46,33,2021-04-23 14:46:16,100.0,1.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,3.4,3.25,81.0,84.38,0.13,0.0,0.0,0.0,0.27,0.44,1.4,0.88,0.07,0.12,0.0,0.0,0.4,0.06,19.49,17.0,1.59,0.44,7.2,5.94,1,0,2,90.0,90.0,90.0,2.0,1
55,47,33,2021-04-23 14:46:16,0.0,0.0,u,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
56,48,33,2021-04-23 14:46:16,25.0,0.0,d,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,1
57,49,33,2021-04-23 14:46:16,0.0,0.0,u,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
58,50,33,2021-04-23 14:46:16,100.0,1.7,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.6,0.25,8.6,1.19,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.02,2.65,0.21,2.87,3.25,1,0,4,45.0,0.0,23.0,2.0,5
59,51,33,2021-04-23 14:46:16,0.0,0.0,u,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
60,52,33,2021-04-23 14:46:16,100.0,1.3,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,1.93,2.0,73.67,78.0,0.0,0.0,0.07,0.06,0.27,0.44,1.33,0.81,0.27,0.19,0.0,0.06,0.0,0.0,11.12,11.41,9.12,7.84,7.73,3.88,2,1,1,90.0,90.0,73.0,2.0,2
61,106,33,2021-04-23 14:46:16,100.0,0.7,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,1.73,2.24,44.27,34.76,0.07,0.12,0.0,0.06,0.13,0.29,0.93,0.29,0.0,0.0,0.0,0.0,0.0,0.24,6.61,8.27,16.77,12.74,11.47,13.12,1,1,0,27.0,24.0,0.0,2.0,5
62,496,33,2021-04-23 14:46:16,100.0,0.0,s,320,1.19,1.09,18,1,2021-04-25 18:00:00,1.8,3.62,67.4,71.06,0.0,0.0,0.0,0.12,0.27,0.44,1.27,0.75,0.2,0.19,0.07,0.0,0.13,0.38,12.56,18.09,9.81,11.49,3.2,2.62,-3,1,2,56.0,90.0,90.0,2.0,0
63,514,33,2021-04-23 14:46:16,,6.7,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,5.53,3.56,90.0,90.0,0.53,0.25,0.33,0.12,0.4,0.5,1.4,0.88,0.07,0.06,0.0,0.0,0.47,0.38,26.91,17.46,16.97,15.75,54.67,35.0,5,8,7,90.0,90.0,90.0,2.0,5
64,540,33,2021-04-23 14:46:16,75.0,3.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,3.71,2.94,59.43,57.5,0.21,0.12,0.21,0.06,0.29,0.38,1.0,0.5,0.0,0.0,0.0,0.0,0.14,0.12,16.11,9.6,15.74,9.78,21.14,19.44,2,2,5,74.0,67.0,90.0,2.0,2
65,554,33,2021-04-23 14:46:16,,1.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.5,0.88,6.93,22.19,0.0,0.0,0.0,0.0,0.0,0.12,0.14,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.14,2.04,1.34,3.58,0.79,2.44,1,1,1,45.0,8.0,16.0,2.0,1
66,647,33,2021-04-23 14:46:16,75.0,0.7,i,320,1.19,1.09,18,1,2021-04-25 18:00:00,1.14,0.33,30.0,13.0,0.0,0.0,0.0,0.0,0.14,0.0,0.43,0.17,0.14,0.33,0.0,0.0,0.0,0.0,2.91,0.9,3.53,0.68,1.14,0.33,0,0,2,0.0,0.0,66.0,2.0,0
67,671,33,2021-04-23 14:46:16,,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
68,672,33,2021-04-23 14:46:16,,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
69,683,33,2021-04-23 14:46:16,,0.0,a,320,1.19,1.09,18,1,2021-04-25 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
70,53,33,2021-04-23 14:46:16,0.0,0.0,u,326,1.38,1.09,15,0,2021-04-24 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
71,54,33,2021-04-23 14:46:16,100.0,2.0,a,326,1.38,1.09,15,0,2021-04-24 19:00:00,1.94,1.38,44.81,41.75,0.06,0.0,0.0,0.06,0.25,0.06,0.44,0.44,0.0,0.0,0.0,0.0,0.12,0.0,9.11,5.51,14.09,6.59,12.81,4.12,1,3,2,30.0,90.0,87.0,2.0,2
72,57,33,2021-04-23 14:46:16,,2.3,a,326,1.38,1.09,15,0,2021-04-24 19:00:00,3.38,2.31,64.75,57.94,0.12,0.0,0.12,0.25,0.38,0.19,0.56,0.69,0.06,0.06,0.0,0.0,0.5,0.06,16.5,14.08,33.15,21.65,16.38,4.62,3,3,1,90.0,90.0,90.0,2.0,2
73,58,33,2021-04-23 14:46:16,0.0,0.0,u,326,1.38,1.09,15,0,2021-04-24 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
74,59,33,2021-04-23 14:46:16,100.0,0.0,a,326,1.38,1.09,15,0,2021-04-24 19:00:00,0.31,0.25,7.5,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.6,0.22,0.1,2.69,0.56,0,0,0,0.0,0.0,0.0,2.0,0
75,60,33,2021-04-23 14:46:16,0.0,0.0,u,326,1.38,1.09,15,0,2021-04-24 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,2.0,0
76,61,33,2021-04-23 14:46:16,100.0,2.3,a,326,1.38,1.09,15,0,2021-04-24 19:00:00,1.0,1.88,39.31,61.12,0.0,0.0,0.0,0.0,0.12,0.19,0.56,0.75,0.19,0.12,0.0,0.0,0.0,0.0,6.25,8.4,5.66,3.54,5.56,3.75,6,1,0,90.0,3.0,0.0,2.0,0
