id,team,element_type,first_name,second_name,web_name,now_cost,initial_cost
31,2,2,Neil,Taylor,Taylor,42,45.0
32,2,1,Jed,Steer,Steer,39,40.0
33,2,3,Conor,Hourihane,Hourihane,59,60.0
34,2,3,José Ignacio,Peleteiro Romallo,Jota,59,60.0
35,2,1,Ørjan,Nyland,Nyland,40,40.0
36,2,2,Bjorn,Engels,Engels,44,45.0
37,2,3,Jack,Grealish,Grealish,75,70.0
38,2,3,John,McGinn,McGinn,55,55.0
39,2,2,Kortney,Hause,Hause,44,45.0
40,2,3,Mahmoud Ahmed,Ibrahim Hassan,Trézéguet,52,55.0
41,2,2,Tyrone,Mings,Mings,54,50.0
42,2,2,Matt,Targett,Targett,50,45.0
43,2,2,James,Bree,Bree,45,45.0
44,2,3,Marvelous,Nakamba,Nakamba,43,45.0
45,2,3,Anwar,El Ghazi,El Ghazi,52,60.0
46,2,2,Ezri,Konsa Ngoyo,Konsa,46,45.0
47,2,2,Frédéric,Guilbert,Guilbert,43,45.0
48,2,4,Wesley,Moraes,Wesley,60,60.0
49,2,4,Mbwana,Samatta,Samatta,59,60.0
50,2,4,Keinan,Davis,Davis,42,45.0
51,2,4,Indiana,Vassilev,Vassilev,43,45.0
52,2,3,Douglas Luiz,Soares de Paulo,Douglas Luiz,48,50.0
106,2,3,Ross,Barkley,Barkley,58,60.0
496,2,2,Matthew,Cash,Cash,50,50.0
514,2,4,Ollie,Watkins,Watkins,63,60.0
540,2,3,Bertrand,Traoré,Traoré,58,60.0
554,2,3,Jacob,Ramsey,Ramsey,45,45.0
647,2,3,Morgan,Sanson,Sanson,55,55.0
671,2,3,Kaine,Hayden,Hayden,45,45.0
672,2,3,Carney,Chukwuemeka,Chukwuemeka,45,45.0
683,2,3,Jaden,Philogene-Bidace,Philogene-Bidace,44,45.0
53,3,4,Glenn,Murray,Murray,48,50.0
54,3,3,Adam,Lallana,Lallana,62,65.0
57,3,3,Pascal,Groß,Groß,58,60.0
58,3,2,Shane,Duffy,Duffy,43,45.0
59,3,3,Davy,Pröpper,Pröpper,47,50.0
60,3,3,Aaron,Mooy,Mooy,50,50.0
61,3,2,Dan,Burn,Burn,42,45.0
62,3,2,Lewis,Dunk,Dunk,48,50.0
63,3,2,Martín,Montoya,Montoya,45,45.0
64,3,4,Florin,Andone,Andone,48,50.0
65,3,3,Solomon,March,March,49,50.0
66,3,2,Adam,Webster,Webster,43,45.0
67,3,2,Joël,Veltman,Veltman,43,45.0
68,3,4,Neal,Maupay,Maupay,58,65.0
69,3,3,Leandro,Trossard,Trossard,55,60.0
71,3,3,Alireza,Jahanbakhsh,Jahanbakhsh,54,55.0
72,3,3,José,Izquierdo,Izquierdo,55,55.0
73,3,2,Matthew,Clarke,Clarke,44,45.0
74,3,2,Ben,White,White,45,45.0
75,3,2,Bernardo,Fernandes da Silva Junior,Bernardo,39,40.0
76,3,3,Yves,Bissouma,Bissouma,44,45.0
77,3,2,Tariq,Lamptey,Lamptey,46,45.0
78,3,4,Aaron,Connolly,Connolly,52,55.0
79,3,3,Steven,Alzate,Alzate,41,45.0
80,3,3,Alexis,Mac Allister,Mac Allister,53,55.0
503,3,1,Christian,Walton,Walton,40,40.0
528,3,1,Jason,Steele,Steele,39,40.0
550,3,3,Jayson,Molumby,Molumby,45,45.0
574,3,4,Andi,Zeqiri,Zeqiri,50,50.0
588,3,4,Danny,Welbeck,Welbeck,55,55.0
597,3,1,Robert,Sánchez,Sánchez,45,45.0
627,3,3,Percy,Tau,Tau,49,55.0
628,3,3,Jakub,Moder,Moder,50,50.0
630,3,3,Reda,Khadra,Khadra,45,45.0
631,3,3,Teddy,Jenks,Jenks,45,45.0
632,3,3,Max,Sanders,Sanders,45,45.0
633,3,3,Jensen,Weir,Weir,45,45.0
662,3,1,Thomas,McGill,McGill,39,40.0
663,3,2,Michal,Karbownik,Karbownik,45,45.0
664,3,3,Moisés,Caicedo,Caicedo,50,50.0
55,4,3,Dale,Stephens,Stephens,42,45.0
81,4,2,James,Tarkowski,Tarkowski,53,55.0
82,4,2,Phil,Bardsley,Bardsley,44,45.0
83,4,2,Erik,Pieters,Pieters,43,45.0
84,4,3,Jack,Cork,Cork,50,50.0
85,4,2,Kevin,Long,Long,43,45.0
86,4,4,Jay,Rodriguez,Rodriguez,57,60.0
87,4,4,Ashley,Barnes,Barnes,60,60.0
88,4,2,Ben,Mee,Mee,47,50.0
89,4,3,Ashley,Westwood,Westwood,53,55.0
90,4,3,Johann Berg,Gudmundsson,Gudmundsson,54,55.0
91,4,4,Chris,Wood,Wood,66,65.0
92,4,2,Matthew,Lowton,Lowton,44,45.0
93,4,4,Matej,Vydra,Vydra,48,50.0
94,4,2,Ben,Gibson,Gibson,39,40.0
95,4,3,Robbie,Brady,Brady,50,50.0
96,4,1,Nick,Pope,Pope,55,55.0
97,4,2,Charlie,Taylor,Taylor,44,45.0
98,4,3,Josh,Brownhill,Brownhill,49,50.0
99,4,1,Bailey,Peacock-Farrell,Peacock-Farrell,40,40.0
100,4,3,Dwight,McNeil,McNeil,57,60.0
519,4,2,Jimmy,Dunne,Dunne,38,40.0
520,4,2,Bobby,Thomas,Thomas,39,40.0
535,4,3,Josh,Benson,Benson,44,45.0
536,4,2,Anthony,Driscoll-Glennon,Driscoll-Glennon,39,40.0
551,4,3,Mace,Goodridge,Goodridge,45,45.0
583,4,1,Will,Norris,Norris,40,40.0
591,4,4,Max,Thompson,Thompson,45,45.0
592,4,4,Lewis,Richardson,Richardson,45,45.0
612,4,3,Anthony,Mancini,Mancini,44,45.0
613,4,4,Joel,Mumbongo,Mumbongo,45,45.0
658,4,2,Richard,Nartey,Nartey,40,40.0
101,5,1,Willy,Caballero,Caballero,46,50.0
102,5,2,César,Azpilicueta,Azpilicueta,58,60.0
103,5,4,Olivier,Giroud,Giroud,67,70.0
104,5,2,Marcos,Alonso,Alonso,56,60.0
105,5,3,Jorge Luiz,Frello Filho,Jorginho,47,50.0
107,5,3,Mateo,Kovacic,Kovacic,53,55.0
109,5,2,Antonio,Rüdiger,Rüdiger,47,50.0
110,5,2,Kurt,Zouma,Zouma,53,50.0
111,5,2,Emerson,Palmieri dos Santos,Emerson,47,50.0
112,5,1,Kepa,Arrizabalaga,Arrizabalaga,47,50.0
113,5,3,N'Golo,Kanté,Kanté,49,50.0
114,5,3,Hakim,Ziyech,Ziyech,79,80.0
116,5,2,Andreas,Christensen,Christensen,47,50.0
117,5,4,Timo,Werner,Werner,92,95.0
118,5,4,Tammy,Abraham,Abraham,71,75.0
119,5,3,Christian,Pulisic,Pulisic,83,85.0
120,5,3,Mason,Mount,Mount,73,70.0
121,5,2,Fikayo,Tomori,Tomori,47,50.0
122,5,3,Callum,Hudson-Odoi,Hudson-Odoi,57,60.0
123,5,2,Reece,James,James,51,50.0
124,5,3,Billy,Gilmour,Gilmour,43,45.0
232,5,2,Benjamin,Chilwell,Chilwell,59,55.0
490,5,2,Thiago,Thiago,Thiago Silva,56,55.0
500,5,3,Kai,Havertz,Havertz,83,85.0
548,5,1,Edouard,Mendy,Mendy,53,50.0
593,5,1,Karlo,Ziger,Ziger,40,40.0
605,5,3,Faustino,Anjorin,Anjorin,45,45.0
698,5,2,Valentino,Livramento,Livramento,40,40.0
108,6,4,Michy,Batshuayi,Batshuayi,57,60.0
125,6,2,Gary,Cahill,Cahill,45,45.0
126,6,1,Wayne,Hennessey,Hennessey,43,45.0
127,6,2,Mamadou,Sakho,Sakho,44,45.0
128,6,1,Vicente,Guaita,Guaita,48,50.0
129,6,2,James,Tomkins,Tomkins,44,45.0
130,6,3,James,McArthur,McArthur,52,55.0
131,6,3,James,McCarthy,McCarthy,43,45.0
132,6,4,Christian,Benteke,Benteke,55,55.0
133,6,3,Cheikhou,Kouyaté,Kouyaté,48,50.0
134,6,2,Joel,Ward,Ward,43,45.0
135,6,2,Martin,Kelly,Kelly,41,45.0
136,6,4,Connor,Wickham,Wickham,44,45.0
137,6,3,Andros,Townsend,Townsend,55,60.0
138,6,3,Luka,Milivojevic,Milivojevic,56,60.0
139,6,2,Patrick,van Aanholt,van Aanholt,54,55.0
140,6,4,Jordan,Ayew,Ayew,56,60.0
141,6,3,Wilfried,Zaha,Zaha,71,70.0
142,6,3,Jeffrey,Schlupp,Schlupp,53,55.0
143,6,3,Max,Meyer,Meyer,47,50.0
144,6,3,Jairo,Riedewald,Riedewald,44,45.0
145,6,2,Nathan,Ferguson,Ferguson,38,40.0
146,6,2,Tyrick,Mitchell,Mitchell,38,40.0
147,6,3,Brandon,Pierrick,Pierrick,43,45.0
486,6,2,Scott,Dann,Dann,42,45.0
489,6,3,Eberechi,Eze,Eze,58,60.0
522,6,2,Sam,Woods,Woods,40,40.0
534,6,2,Ryan,Inniss,Inniss,40,40.0
577,6,2,Nathaniel,Clyne,Clyne,45,45.0
578,6,1,Stephen,Henderson,Henderson,40,40.0
586,6,1,Jack,Butland,Butland,45,45.0
641,6,4,Jean-Philippe,Mateta,Mateta,53,60.0
675,6,2,Reece,Hannam,Hannam,40,40.0
688,6,3,Jesurun,Rak-Sakyi,Rak-Sakyi,45,45.0
149,7,3,Fabian,Delph,Delph,48,50.0
150,7,3,Gylfi,Sigurdsson,Sigurdsson,68,70.0
151,7,1,Jonas,Lössl,Lössl,43,45.0
152,7,2,Seamus,Coleman,Coleman,49,50.0
153,7,4,Cenk,Tosun,Tosun,60,60.0
154,7,3,Bernard,Anício Caldeira Duarte,Bernard,57,60.0
155,7,2,Lucas,Digne,Digne,62,60.0
156,7,2,Michael,Keane,Keane,50,50.0
157,7,1,Jordan,Pickford,Pickford,48,50.0
158,7,3,André Filipe,Tavares Gomes,André Gomes,53,55.0
159,7,3,Alex,Iwobi,Iwobi,59,60.0
160,7,2,Jonjoe,Kenny,Kenny,43,45.0
161,7,3,Jean-Philippe,Gbamin,Gbamin,50,50.0
162,7,2,Yerry,Mina,Mina,55,55.0
163,7,3,Tom,Davies,Davies,52,55.0
164,7,4,Dominic,Calvert-Lewin,Calvert-Lewin,75,70.0
165,7,2,Mason,Holgate,Holgate,48,50.0
166,7,4,Richarlison,de Andrade,Richarlison,77,80.0
167,7,1,João,Virgínia,Virgínia,43,45.0
168,7,3,Anthony,Gordon,Gordon,43,45.0
169,7,4,Moise,Kean,Kean,57,60.0
170,7,2,Jarrad,Branthwaite,Branthwaite,39,40.0
502,7,3,Allan,Marques Loureiro,Allan,52,55.0
508,7,3,James,Rodríguez,Rodríguez,77,75.0
512,7,3,Abdoulaye,Doucouré,Doucouré,51,55.0
559,7,2,Niels,Nkounkou,Nkounkou,40,40.0
566,7,2,Ben,Godfrey,Godfrey,51,50.0
573,7,1,Robin,Olsen,Olsen,45,45.0
596,7,4,Ellis,Simms,Simms,45,45.0
644,7,3,Tyler,Onyango,Onyango,45,45.0
651,7,4,Joshua,King,King,50,55.0
679,7,2,Kyle,John,John,40,40.0
680,7,3,Nathan,Broadhead,Broadhead,45,45.0
681,7,2,Ryan,Astley,Astley,40,40.0
682,7,1,Harry,Tyrer,Tyrer,40,40.0
690,7,2,Reece,Welch,Welch,40,40.0
691,7,3,Isaac,Price,Price,45,45.0
115,8,3,Ruben,Loftus-Cheek,Loftus-Cheek,59,60.0
171,8,1,Fabricio,Agosto Ramírez,Fabri,39,40.0
172,8,3,Kevin,McDonald,McDonald,47,50.0
173,8,2,Maxime,Le Marchand,Le Marchand,41,45.0
174,8,3,Stefan,Johansen,Johansen,47,50.0
175,8,3,Tom,Cairney,Cairney,52,55.0
176,8,2,Tim,Ream,Ream,42,45.0
177,8,3,Anthony,Knockaert,Knockaert,50,55.0
178,8,2,Michael,Hector,Hector,41,45.0
179,8,2,Cyrus,Christie,Christie,42,45.0
180,8,3,Neeskens,Kebano,Kebano,47,50.0
181,8,4,Bobby,Decordova-Reid,Decordova-Reid,53,55.0
182,8,2,Joe,Bryan,Bryan,45,50.0
183,8,1,Marcus,Bettinelli,Bettinelli,43,45.0
184,8,4,Aleksandar,Mitrović,Mitrović,55,60.0
185,8,2,Alfie,Mawson,Mawson,43,45.0
186,8,1,Marek,Rodák,Rodák,43,45.0
187,8,3,Ivan Ricardo,Neves Abreu Cavaleiro,Cavaleiro,53,55.0
188,8,3,Josh,Onomah,Onomah,46,50.0
189,8,3,Jean Michaël,Seri,Seri,46,50.0
190,8,3,Aboubakar,Kamara,Kamara,48,50.0
191,8,3,André-Frank,Zambo Anguissa,Anguissa,44,45.0
192,8,2,Zeze Steven,Sessegnon,Sessegnon,43,45.0
373,8,3,Harrison,Reed,Reed,44,45.0
484,8,2,Antonee,Robinson,Robinson,44,45.0
493,8,3,Mario,Lemina,Lemina,45,45.0
516,8,1,Alphonse,Areola,Areola,45,45.0
517,8,2,Kenny,Tete,Tete,43,45.0
525,8,2,Denis,Odoi,Odoi,42,45.0
557,8,3,Ademola,Lookman,Lookman,47,50.0
562,8,2,Ola,Aina,Aina,43,45.0
571,8,2,Joachim,Andersen,Andersen,45,45.0
572,8,2,Tosin,Adarabioyo,Adarabioyo,45,45.0
585,8,2,Terence,Kongolo,Kongolo,43,45.0
665,8,4,Josh,Maja,Maja,50,55.0
695,8,3,Fabio,Carvalho,Carvalho,45,45.0
707,8,3,Sylvester,Jasper,Jasper,45,45.0
708,8,3,Tyrese,Francois,Francois,45,45.0
216,9,2,Wes,Morgan,Morgan,44,45.0
217,9,1,Kasper,Schmeichel,Schmeichel,54,55.0
218,9,2,Christian,Fuchs,Fuchs,45,45.0
219,9,2,Jonny,Evans,Evans,56,55.0
220,9,3,Adrien,Silva,Silva,44,45.0
221,9,3,Marc,Albrighton,Albrighton,52,55.0
222,9,3,Matty,James,James,43,45.0
223,9,1,Danny,Ward,Ward,43,45.0
224,9,4,Jamie,Vardy,Vardy,102,100.0
225,9,3,Dennis,Praet,Praet,52,55.0
226,9,2,Ricardo Domingos,Barbosa Pereira,Pereira,59,60.0
227,9,2,Daniel,Amartey,Amartey,39,40.0
228,9,3,Youri,Tielemans,Tielemans,64,65.0
229,9,3,Ayoze,Pérez,Pérez,60,65.0
230,9,3,Demarai,Gray,Gray,51,55.0
231,9,3,James,Maddison,Maddison,72,70.0
233,9,4,Kelechi,Iheanacho,Iheanacho,62,60.0
234,9,3,Hamza,Choudhury,Choudhury,46,50.0
235,9,3,Harvey,Barnes,Barnes,66,70.0
236,9,3,Wilfred,Ndidi,Ndidi,48,50.0
237,9,2,Filip,Benkovic,Benkovic,43,45.0
238,9,2,Çaglar,Söyüncü,Söyüncü,53,55.0
239,9,2,James,Justin,Justin,48,45.0
240,9,2,Luke,Thomas,Thomas,41,45.0
498,9,2,Timothy,Castagne,Castagne,58,55.0
518,9,3,Nampalys,Mendy,Mendy,42,45.0
541,9,3,Cengiz,Ünder,Ünder,57,60.0
561,9,2,Wesley,Fofana,Fofana,50,50.0
579,9,4,Islam,Slimani,Slimani,49,50.0
660,9,2,Vontae,Daley-Campbell,Daley-Campbell,40,40.0
661,9,3,Thakgalo,Leshabela,Leshabela,44,45.0
676,9,3,Sidnei,Tavares,Tavares,44,45.0
684,9,3,Shane,Flynn,Flynn,45,45.0
687,9,3,Thanawat,Suengchitthawon,Suengchitthawon,45,45.0
703,9,3,Tawanda,Maswanhise,Maswanhise,45,45.0
193,10,3,Pablo,Hernández Domínguez,Hernández,57,60.0
194,10,1,Francisco,Casilla Cortés,Casilla,41,45.0
195,10,2,Liam,Cooper,Cooper,43,45.0
196,10,2,Barry,Douglas,Douglas,38,40.0
197,10,2,Luke,Ayling,Ayling,44,45.0
198,10,3,Mateusz,Klich,Klich,52,55.0
199,10,3,Adam,Forshaw,Forshaw,48,50.0
200,10,2,Stuart,Dallas,Dallas,55,45.0
201,10,2,Ezgjan,Alioski,Alioski,44,45.0
202,10,4,Patrick,Bamford,Bamford,66,55.0
203,10,3,Jack,Harrison,Harrison,56,55.0
204,10,3,Kalvin,Phillips,Phillips,49,50.0
205,10,3,Hélder Wander,Sousa de Azevedo e Costa,Costa,50,55.0
206,10,3,Tyler,Roberts,Roberts,46,50.0
207,10,3,Jay-Roy,Grot,Grot,47,50.0
208,10,1,Kamil,Miazek,Miazek,40,40.0
209,10,3,Ian Carlo,Poveda-Ocampo,Poveda-Ocampo,42,45.0
210,10,3,Jamie,Shackleton,Shackleton,48,50.0
211,10,2,Pascal,Struijk,Struijk,40,40.0
212,10,3,Jordan,Stevens,Stevens,43,45.0
213,10,1,Illan,Meslier,Meslier,48,45.0
214,10,2,Leif,Davis,Davis,38,40.0
215,10,2,Oliver,Casey,Casey,38,40.0
491,10,2,Robin,Koch,Koch,43,45.0
492,10,4,Rodrigo,Moreno,Rodrigo,57,60.0
532,10,1,Elia,Caprile,Caprile,40,40.0
533,10,3,Mateusz,Bogusz,Bogusz,43,45.0
549,10,2,Diego,Llorente,Llorente,44,45.0
570,10,3,Raphael,Dias Belloli,Raphinha,56,55.0
599,10,3,Jack,Jenkins,Jenkins,45,45.0
619,10,4,Niall,Huggins,Huggins,45,45.0
620,10,2,Charlie,Cresswell,Cresswell,40,40.0
667,10,4,Joe,Gelhardt,Gelhardt,45,45.0
685,10,2,Gaetano,Berardi,Berardi,40,40.0
692,10,4,Sam,Greenwood,Greenwood,45,45.0
693,10,3,Crysencio,Summerville,Summerville,44,45.0
694,10,2,Cody,Drameh,Drameh,40,40.0
241,11,3,James,Milner,Milner,53,55.0
242,11,2,Konstantinos,Tsimikas,Tsimikas,49,50.0
243,11,3,Georginio,Wijnaldum,Wijnaldum,53,55.0
244,11,3,Jordan,Henderson,Henderson,54,55.0
245,11,1,Adrián,San Miguel del Castillo,Adrián,42,45.0
246,11,2,Joel,Matip,Matip,54,55.0
247,11,3,Xherdan,Shaqiri,Shaqiri,64,65.0
248,11,3,Alex,Oxlade-Chamberlain,Chamberlain,63,65.0
249,11,4,Roberto,Firmino,Firmino,91,95.0
250,11,2,Virgil,van Dijk,van Dijk,62,65.0
251,11,3,Sadio,Mané,Mané,118,120.0
252,11,1,Alisson,Ramses Becker,Alisson,60,60.0
253,11,3,Fabio Henrique,Tavares,Fabinho,54,55.0
254,11,3,Mohamed,Salah,Salah,129,120.0
255,11,2,Andrew,Robertson,Robertson,73,70.0
256,11,4,Divock,Origi,Origi,51,55.0
257,11,3,Harry,Wilson,Harry Wilson,51,55.0
259,11,2,Trent,Alexander-Arnold,Alexander-Arnold,78,75.0
260,11,2,Joseph,Gomez,Gomez,52,55.0
261,11,3,Naby,Keita,Keita,52,55.0
263,11,3,Curtis,Jones,Jones,44,45.0
264,11,2,Neco,Williams,Neco Williams,38,40.0
265,11,3,Harvey,Elliott,Elliott,43,45.0
468,11,3,Diogo,Jota,Jota,69,65.0
531,11,3,Thiago,Alcántara do Nascimento,Thiago,55,60.0
560,11,1,Caoimhin,Kelleher,Kelleher,45,45.0
589,11,2,Nathaniel,Phillips,Phillips,42,40.0
594,11,2,Rhys,Williams,Rhys Williams,40,40.0
601,11,3,Leighton,Clarkson,Clarkson,45,45.0
607,11,3,Jake,Cain,Cain,45,45.0
652,11,2,Ozan,Kabak,Kabak,50,50.0
653,11,2,Ben,Davies,Davies,47,50.0
677,11,1,Liam,Hughes,Hughes,40,40.0
678,11,1,Jakub,Ojrzynski,Ojrzynski,40,40.0
696,11,3,Ben,Woodburn,Woodburn,45,45.0
697,11,2,Billy,Koumetio,Koumetio,40,40.0
266,12,2,Fernando,Luiz Rosa,Fernandinho,54,55.0
267,12,1,Claudio,Bravo,Bravo,45,45.0
268,12,4,Sergio,Agüero,Agüero,103,105.0
269,12,2,Nicolás,Otamendi,Otamendi,49,50.0
270,12,2,Kyle,Walker,Walker,61,60.0
271,12,3,Ilkay,Gündogan,Gündogan,55,55.0
272,12,3,Kevin,De Bruyne,De Bruyne,118,115.0
273,12,2,John,Stones,Stones,51,50.0
274,12,2,Benjamin,Mendy,Mendy,59,60.0
275,12,3,Riyad,Mahrez,Mahrez,81,85.0
276,12,3,Raheem,Sterling,Sterling,109,115.0
277,12,2,João Pedro Cavaco,Cancelo,Cancelo,58,55.0
278,12,1,Ederson,Santana de Moraes,Ederson,61,60.0
279,12,2,Nathan,Aké,Aké,54,55.0
280,12,2,Aymeric,Laporte,Laporte,60,60.0
281,12,3,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo Silva,74,75.0
282,12,4,Gabriel Fernando,de Jesus,Jesus,91,95.0
283,12,2,Oleksandr,Zinchenko,Zinchenko,55,55.0
284,12,3,Phil,Foden,Foden,61,65.0
285,12,3,Tommy,Doyle,Doyle,44,45.0
286,12,3,Rodrigo,Hernandez,Rodrigo,53,55.0
287,12,3,Ferran,Torres,Torres,70,70.0
288,12,2,Eric,Garcia,Garcia,47,50.0
537,12,3,Adrián,Bernabé,Bernabé,45,45.0
538,12,1,Zack,Steffen,Steffen,44,45.0
539,12,4,Liam,Delap,Delap,42,45.0
552,12,3,Cole,Palmer,Palmer,44,45.0
556,12,2,Rúben Santos,Gato Alves Dias,Dias,59,55.0
595,12,1,James,Trafford,Trafford,40,40.0
608,12,1,Scott,Carson,Carson,39,40.0
609,12,3,Felix,Nmecha,Nmecha,45,45.0
622,12,2,Luke,Mbete,Mbete,40,40.0
623,12,2,Taylor,Harwood-Bellis,Harwood-Bellis,40,40.0
659,12,3,Claudio,Gomes,Gomes,45,45.0
289,13,1,Sergio,Romero,Romero,49,50.0
290,13,3,Juan,Mata,Mata,58,60.0
291,13,1,David,de Gea,de Gea,53,55.0
292,13,2,Chris,Smalling,Smalling,49,50.0
293,13,4,Odion,Ighalo,Ighalo,61,65.0
294,13,2,Marcos,Rojo,Rojo,48,50.0
295,13,3,Nemanja,Matic,Matic,47,50.0
296,13,3,Paul,Pogba,Pogba,76,80.0
297,13,2,Phil,Jones,Jones,48,50.0
298,13,2,Harry,Maguire,Maguire,55,55.0
299,13,3,Frederico,Rodrigues de Paula Santos,Fred,53,55.0
300,13,2,Luke,Shaw,Shaw,55,50.0
302,13,3,Bruno Miguel,Borges Fernandes,Fernandes,113,105.0
303,13,4,Anthony,Martial,Martial,86,90.0
304,13,3,Andreas,Pereira,Pereira,48,50.0
305,13,1,Dean,Henderson,Henderson,52,55.0
306,13,3,Marcus,Rashford,Rashford,96,95.0
307,13,2,Axel,Tuanzebe,Tuanzebe,41,45.0
308,13,2,Victor,Lindelöf,Lindelöf,48,50.0
309,13,3,Scott,McTominay,McTominay,49,50.0
310,13,2,Eric,Bailly,Bailly,48,50.0
311,13,3,Daniel,James,James,62,65.0
312,13,2,Timothy,Fosu-Mensah,Fosu-Mensah,43,45.0
313,13,2,Aaron,Wan-Bissaka,Wan-Bissaka,58,55.0
314,13,2,José Diogo,Dalot Teixeira,Dalot,48,50.0
315,13,3,Mason,Greenwood,Greenwood,73,75.0
316,13,3,Tahith,Chong,Chong,44,45.0
317,13,3,James,Garner,Garner,44,45.0
318,13,2,Brandon,Williams,Williams,42,45.0
319,13,2,Teden,Mengi,Mengi,39,40.0
495,13,3,Donny,van de Beek,van de Beek,66,70.0
568,13,2,Alex Nicolao,Telles,Telles,53,55.0
569,13,4,Edinson,Cavani,Cavani,80,80.0
575,13,3,Facundo,Pellistri,Pellistri,52,55.0
604,13,1,Lee,Grant,Grant,40,40.0
640,13,3,Amad,Diallo,Diallo,54,55.0
673,13,3,Shola,Shoretire,Shoretire,44,45.0
686,13,1,Nathan,Bishop,Bishop,40,40.0
702,13,3,Anthony,Elanga,Elanga,45,45.0
712,13,3,Hannibal,Mejbri,Mejbri,45,45.0
713,13,2,William,Fish,Fish,40,40.0
20,14,3,Joseph,Willock,Willock,49,50.0
320,14,4,Andy,Carroll,Carroll,51,55.0
321,14,3,Jonjo,Shelvey,Shelvey,53,55.0
322,14,3,Matt,Ritchie,Ritchie,49,50.0
323,14,2,Federico,Fernández,Fernández,47,50.0
324,14,2,Ciaran,Clark,Clark,45,45.0
325,14,1,Karl,Darlow,Darlow,49,50.0
326,14,1,Martin,Dubravka,Dubravka,48,50.0
327,14,2,Florian,Lejeune,Lejeune,43,45.0
328,14,2,Jamaal,Lascelles,Lascelles,42,45.0
329,14,4,Dwight,Gayle,Gayle,59,60.0
330,14,3,Christian,Atsu,Atsu,52,55.0
331,14,2,Paul,Dummett,Dummett,44,45.0
332,14,2,Javier,Manquillo,Manquillo,42,45.0
333,14,2,Emil,Krafth,Krafth,42,45.0
334,14,2,Fabian,Schär,Schär,48,50.0
335,14,2,DeAndre,Yedlin,Yedlin,43,45.0
336,14,3,Isaac,Hayden,Hayden,46,50.0
337,14,3,Rolando,Aarons,Aarons,48,50.0
338,14,3,Allan,Saint-Maximin,Saint-Maximin,52,55.0
339,14,3,Miguel,Almirón,Almirón,56,60.0
340,14,4,Joelinton Cássio,Apolinário de Lira,Joelinton,57,60.0
341,14,4,Yoshinori,Muto,Muto,48,50.0
342,14,2,Kelland,Watts,Watts,39,40.0
480,14,3,Sean,Longstaff,Sean Longstaff,46,50.0
485,14,3,Jeff,Hendrick,Hendrick,45,50.0
487,14,3,Matthew,Longstaff,Matty Longstaff,48,50.0
488,14,1,Mark,Gillespie,Gillespie,43,45.0
497,14,3,Jacob,Murphy,Murphy,49,50.0
506,14,4,Callum,Wilson,Wilson,65,65.0
507,14,3,Ryan,Fraser,Fraser,56,60.0
513,14,2,Jamal,Lewis,Lewis,40,45.0
602,14,3,Elliot,Anderson,Anderson,45,45.0
606,14,1,Daniel,Langley,Langley,39,40.0
262,15,4,Rhian,Brewster,Brewster,42,45.0
343,15,4,Billy,Sharp,Sharp,55,60.0
